Product,Primary Disease,PHI,FRAC,Qty,units, Price ,Dose (avg), Cost/Dose ,Anthracnose,Black Rot,Bitter Rot,Botrytis,Downy,Phomopsis,Powdery
Abound,"powdery,black rot, phomopsis, botrytis",,11,128,fl oz,347.48,12.5,33.93,,E,E,G,E,G,E
"Benzovindiflupyr (Aprovia), Isofedamid (Kenja)",,,7,,,,,,G,VG,,E,,,VG
Boscalid (Endura),,,7,,,,,,,,,E,,,VG
Captan 4L Gld,"black rot, bitter rot, downy, phomopsis",,M04,2.5,gal,66.98,0.4,10.72,G,G,E,F,VG,VG,NA
Carbaryl,japanese beatles,,IRAC 1A,2.5,gal,169.15,0.125,8.46,,,,,,,
Cyflufenamid (Torino),powdery,,U06,,,,,,,NA,NA,NA,NA,NA,VG
Cyprodinil (Vangard),botrytis,,9,,,,,,,NA,NA,E,NA,NA,F
Cyprodinil plus Difenoconazole (Inspire Super),"black rot, botrytusm powdery",,"3, 9",,,,,,,VG,,VG,,,VG
Cyprodinil plus Fludioxonil (Switch),botrytis,,"9, 12",,,,,,,,,VG,,,
dithane 45,,,M03,2.5,gal,90.63,,,,,,,,,
Elevate,botrytis,,17,10,lbs,152,1,15.2,,NA,NA,E,NA,NA,NA
Famoxadone plus cymoxanil (Tanos),downy,,"11, 27",,,,,,,,,,G,,
Fenarimol (Rubigan),powdery,,3,,,,,,,F,NA,NA,NA,NA,E
Ferbam (Ferbam),"black rot, bitter rot",,M03,,,,,,,VG,G,NA,F,F,NA
Fixed coppers and Bordeaux mixture (various),"black rot, botrytis, downy",,M01,,,,,,,G,F,G,G,F,F
Flint Extra,"powdery,black rot, bitter rot,, botrytis, downy",,11,32,fl oz,294.95,3.8,35.03,,E,E,VG,G,F,E
Glufosinate (interline),,,WSSA 10,2.5,gal,66.25,,,,,,,,,
Glyphosate,,,WSSA 9,2.5,gal,48.95,,,,,,,,,
Intrepid 2f,berry moth,,18,1,gal,240.55,0.09,21.65,,,,,,,
"Iprodione (Rovral, Meteor)",,,2,,,,,,NA,NA,NA,G,NA,NA,NA
JetAg Oxidate,,,NC,5,gal,172.95,0.5,17.3,,,,,,,
JMS Stylet Oil,"powdery mildew, botrytis",,M,2.5,gal,50,1.5,30,,,,,,,
kPhite/prophyt,downy,,M,2.5,gal,76.95,0.25,7.7,,,,,VG,,
Kresoxim-methyl (Sovran),"black rot, bitter rot, downy, phomopsis",,11,,,,,,,E,E,F,G,G,E
Lime Sulfur (dormant application),"anthracnose, phomopsis",,M02,,,,,,G,,,NA,NA,G,F
Luna Experience,"powdery, botrytis, black rot",,"3, 7",64,fl oz,416,8,52,NA,E,NA,E,NA,NA,E
Mandipropamid plus Difenoconazole (Revus Top),,,"40,  3",,,,,,,,,,,,
Manzate Pro Stick,"downy, black rot, bitter rot,  phomopsis",66,M03,30,lbs,113.33,3,11.33,,E,E,NA,E,E,NA
Mefanoxam plus Copper (Ridomil Gold Copper),downy ,,"4,  M01",,,,,,,F,F,F,E,F,F
Mettle,,,3,128,fl oz,464.95,5,18.16,,,,,,,
Microthiol,powdery,,M02,30,lbs,35.95,,,,,,,,,
Mustang Max,Sour rot (SWD),,IRAC 3A,1,gal,189.95,0.03,5.7,,,,,,,
Pristine,"powdery, downy, anthracnose, phomopsis, black rot, botrytis",,"7, 11",120,oz,394.68,10,32.89,VG,E,E,E,E,E,E
Pyrimetamil (Scala),,,9,,,,,,,,,E,,,
quintec,powdery,,13,30,oz,107.95,3.5,12.59,,,,,,,
Rally,"black rot, powdery",,3,20,oz,57.95,4,11.59,,E,F,NA,NA,NA,E
Ranman,Downy,,21,32,fl oz,231.95,2.5,18.12,,,,,VG,,
Revus Top,Downy,,"3, 40",320,fl oz,960.49,7,21.01,NA,NA,NA,NA,E,NA,NA
Ridomil Gold Mz,"black rot, bitter rot, downy, phomopsis",,"4, M03",5,lbs,109.95,2.5,54.98,,G,G,NA,E,G,NA
Scala,botrytis,,9,64,fl oz,139,18,39.09,,,,,,,
Serrenade,,,BM02,,,,,,,,,,,,
Sevin XLR,,,IRAC 1A,2.5,gal,118.95,,,,,,,,,
Sulfur,powdery,,M02,50,lbs,29.95,3,1.8,,NA,NA,NA,NA,F,E
Surround WP Kaolin Clay,,,UN,25,lbs,36.5,,,,,,,,,
Tebuconazole (Elite),"black rot, powdery",,3,,,,,,,E,NA,NA,NA,NA,E
Tetraconazole (Mettle),powsery,,3,,,,,,,,,,,,VG
Thiophanate-methyl (Topsin M),powdery,,1,,,,,,,F,G,NA,NA,G,E
Triflumazole (Procure and Viticure),"black rot, powdery",,3,,,,,,,G,NA,NA,NA,NA,E
Vivando,powdery,,u8,128,fl oz,290.22,15,34.01,,NA,NA,NA,NA,NA,VG
Zampro,downy,,"40, 45",140,oz,375,14,37.5,,,,,,,
Ziram (Ziram),"black rot, downy, phomopsis",,M03,,,,,,,VG,NA,F,VG,G,NA
