Product,Primary Disease,FRAC,omri,phi,Max Applications,Container Size,units,Price,Dose (avg),Cost/Dose,Anthracnose,Black Rot,Bitter Rot,Botrytis,Downy,Phomopsis,Powdery
Abound,"powdery,black rot, phomopsis, botrytis",11,,,,128.0,fl oz,347.48,12.5,33.93,na,e,e,g,e,g,e
"Benzovindiflupyr (Aprovia), Isofedamid (Kenja)",,7,,,,,,,,,g,vg,na,e,na,na,vg
Boscalid (Endura),,7,,,,,,,,,na,na,na,e,na,na,vg
Captan 4L Gld,"black rot, bitter rot, downy, phomopsis",M04,,0.0,12.0,10.0,q,66.98,1.5,10.72,g,g,e,f,vg,vg,na
Carbaryl,japanese beatles,IRAC 1A,,,,2.5,gal,169.15,0.125,8.46,,,,,,,
Cyflufenamid (Torino),powdery,U06,,,,,,,,,na,na,na,na,na,na,vg
Cyprodinil (Vangard),botrytis,9,,,,,,,,,na,na,na,e,na,na,f
Cyprodinil plus Difenoconazole (Inspire Super),"black rot, botrytis,  powdery",3 + 9,,,,,,,,,na,vg,na,vg,na,na,vg
Cyprodinil plus Fludioxonil (Switch),botrytis,9 + 12,,,,,,,,,na,na,na,vg,na,na,na
dithane 45,"downy, black rot, bitter rot,  phomopsis",M03,n,66.0,,2.5,gal,90.63,0.5,18.126,na,e,e,na,e,e,na
Elevate,botrytis,17,,,,10.0,lbs,152.0,1.0,15.2,na,na,na,e,na,na,na
Famoxadone plus cymoxanil (Tanos),downy,11 + 27,,,,,,,,,na,na,na,na,g,na,na
Fenarimol (Rubigan),powdery,3,,,,,,,,,na,f,na,na,na,na,e
Ferbam (Ferbam),"black rot, bitter rot",M03,,,,,,,,,na,vg,g,na,f,f,na
Fixed coppers and Bordeaux mixture (various),"black rot, botrytis, downy",M01,,,,,,,,,na,g,f,g,g,f,f
Flint Extra,"powdery,black rot, bitter rot,, botrytis, downy",11,,,,32.0,fl oz,294.95,3.8,35.03,na,e,e,vg,g,f,e
Glufosinate (interline),,WSSA 10,,,,2.5,gal,66.25,,,,,,,,,
Glyphosate,,WSSA 9,,,,2.5,gal,48.95,,,,,,,,,
Intrepid 2f,berry moth,18,,,,1.0,gal,240.55,0.09,21.65,,,,,,,
"Iprodione (Rovral, Meteor)",,2,,,,,,,,,na,na,na,g,na,na,na
JetAg Oxidate,,M,,,,5.0,gal,172.95,0.5,17.3,,,,,,,
JMS Stylet Oil,"powdery mildew, botrytis",M,y,,,2.5,gal,50.0,1.5,30.0,,,,F,,,E
kPhite/prophyt,downy,M,y,,,2.5,gal,76.95,0.25,7.695,na,na,na,na,vg,na,na
Kresoxim-methyl (Sovran),"black rot, bitter rot, downy, phomopsis",11,,,,,,,,,na,e,e,f,g,g,e
Lime Sulfur (dormant),"anthracnose, phomopsis, powdery",M02,y,,2.0,5.0,gal,119.0,2.5,59.5,g,na,na,na,na,g,f
Lime Sulfur  (growing),"anthracnose, phomopsis, powdery",M02,y,,10.0,5.0,gal,119.0,0.75,17.85,G,,,,,G,F
Luna Experience,"powdery, botrytis, black rot",3 + 7,,,,64.0,fl oz,416.0,8.0,52.0,na,e,na,e,na,na,e
Mandipropamid plus Difenoconazole (Revus Top),,40 + 3,,,,,,,,,,,,,,,
Manzate Pro Stick,"downy, black rot, bitter rot,  phomopsis",M03,,66.0,,30.0,lbs,113.33,3.0,11.33,na,e,e,na,e,e,na
Mefanoxam plus Copper (Ridomil Gold Copper),downy ,4 + M01,,,,,,,,,na,f,f,f,e,f,f
Mettle,,3,,,,128.0,fl oz,464.95,5.0,18.16,na,na,na,na,na,na,vg
Microthiol,powdery,M02,,,,30.0,lbs,35.95,,,na,na,na,na,na,f,e
Mustang Max,sour rot,IRAC 3A,,,,1.0,gal,189.95,0.03,5.7,,,,,,,
Oxidate 5.0,"powdery, downy, anthracnose, phomopsis, black rot, botytis",M,y,,,5.0,gal,179.0,0.25,8.95,,,,,,,
Pristine,"powdery, downy, anthracnose, phomopsis, black rot, botrytis",7 + 11,,,,120.0,oz,394.68,10.0,32.89,vg,e,e,e,e,e,e
Pyrimetamil (Scala),,9,,,,,,,,,na,na,na,e,na,na,na
quintec,powdery,13,,,,30.0,oz,107.95,3.5,12.59,,,,,,,
Rally,"black rot, powdery",3,,,,20.0,oz,57.95,4.0,11.59,na,e,f,na,na,na,e
Ranman,downy,21,,,,32.0,fl oz,231.95,2.5,18.12,na,na,na,na,vg,na,na
Revus Top,downy,3 + 40,,,,320.0,fl oz,960.49,7.0,21.01,,,,,E,,
Ridomil Gold Mz,"black rot, bitter rot, downy, phomopsis",4 + M3,,,,5.0,lbs,109.95,2.5,54.98,na,g,g,na,e,g,na
Scala,botrytis,9,,,,64.0,fl oz,139.0,18.0,39.09,na,na,na,e,na,na,na
Serrenade,,BM02,y,,,,,,,,,,,,,,
Sevin XLR,,IRAC 1A,,,,2.5,gal,118.95,,,,,,,,,
Sulfur,powdery,M02,,,,50.0,lbs,29.95,3.0,1.8,,,,,,F,E
Surround WP Kaolin Clay,,UN,,,,25.0,lbs,36.5,,,,,,,,,
Tebuconazole (Elite),"black rot, powdery",3,,,,,,,,,na,e,na,na,na,na,e
Tetraconazole (Mettle),powsery,3,,,,,,,,,na,na,na,na,na,na,vg
Thiophanate-methyl (Topsin M),powdery,1,,,,,,,,,na,f,g,na,na,g,e
Triflumazole (Procure and Viticure),"black rot, powdery",3,,,,,,,,,g,na,na,na,na,na,e
Vivando,powdery,u8,,,,128.0,fl oz,290.22,15.0,34.01,na,na,na,na,na,na,vg
Zampro,downy,40/45,,,,140.0,oz,375.0,14.0,37.5,na,na,na,na,e,na,na
Ziram (Ziram),"black rot, downy, phomopsis",M03,,,,,,,,,vg,na,f,na,vg,g,na
Double Nickel,,BM02,y,,,,,,,,,,,G,,,G
Actinovate,,,y,,,,,,,,,,,F,,,F
Badge,,BM02,y,,,,,,,,,F,,,E,F,F
Cueva,,M01,y,,,,,,,,,F,,F,G,F,
Kaligreen (potasium bicarbonate),,M,y,,,,,,,,,,,,,,G
Lifeguard,,BM02,y,,,,,,,,,G,,,E,G,E
Oso,,19,y,,,,,,,,,F,,G,F,,G
Neem Oil,,,,,,,,,,,,,,,,,G
